,Unnamed: 0,es_oficialismo,0_presencia,0_apoyo,1_presencia,1_apoyo,2_presencia,2_apoyo,3_presencia,3_apoyo,nroperiodo,tipo_mayoria,resultado,periodo_Extraordinario,periodo_Ordinario,periodo_Prórroga,sesion_Especial,sesion_Preparatoria,sesion_Tablas
578,578,1,0.9035087719298246,0.912621359223301,0.9166666666666666,0.5454545454545454,0.7222222222222222,-0.6923076923076923,0.4705882352941176,0.5,132,0,1,0,1,0,1,0,0
218,218,0,0.9384615384615383,-1.0,0.9818181818181818,1.0,1.0,1.0,0.9473684210526316,-0.2777777777777778,135,0,1,1,0,0,1,0,0
440,440,0,0.9857142857142858,-0.9710144927536232,0.8809523809523809,1.0,0.9166666666666666,1.0,1.0,-1.0,134,0,0,1,0,0,1,0,0
24,24,0,0.9076923076923076,1.0,0.9636363636363636,-1.0,0.95,-1.0,0.9473684210526316,1.0,136,1,0,0,1,0,1,0,0
579,579,1,0.9210526315789472,0.8857142857142857,0.9166666666666666,-0.42424242424242425,0.7222222222222222,-0.8461538461538461,0.4705882352941176,0.625,132,0,1,0,1,0,1,0,0
151,151,0,0.9142857142857144,1.0,0.975609756097561,-1.0,1.0,-1.0,0.8695652173913043,1.0,135,2,0,0,1,0,1,0,0
858,858,1,0.7674418604651163,1.0,0.7441860465116279,1.0,0.25,1.0,0.8421052631578947,0.9375,129,0,1,0,1,0,0,0,1
350,350,0,0.8,-1.0,0.9047619047619048,1.0,0.9444444444444444,1.0,0.9130434782608696,0.9047619047619048,134,0,1,0,1,0,1,0,0
171,171,0,0.08571428571428573,1.0,0.975609756097561,1.0,0.9722222222222222,1.0,0.9130434782608696,1.0,135,1,1,0,1,0,1,0,0
560,560,1,0.9035087719298246,1.0,0.75,1.0,0.5,1.0,0.6470588235294118,1.0,132,0,1,0,1,0,1,0,0
326,326,0,0.7571428571428571,1.0,0.8809523809523809,1.0,0.8888888888888888,1.0,0.8260869565217391,1.0,134,0,1,0,1,0,0,0,1
235,235,0,0.6615384615384615,-1.0,0.8909090909090909,0.8775510204081632,0.925,0.8918918918918919,0.8421052631578947,0.125,135,0,1,1,0,0,1,0,0
257,257,0,0.9876543209876544,1.0,0.975609756097561,-1.0,1.0,-1.0,0.8695652173913043,-1.0,134,0,0,0,1,0,1,0,0
230,230,0,0.8923076923076924,-1.0,0.9454545454545454,0.9615384615384616,1.0,1.0,0.8947368421052632,0.2352941176470588,135,0,1,1,0,0,1,0,0
582,582,1,0.8947368421052632,1.0,0.6666666666666666,1.0,0.7222222222222222,-0.2307692307692308,0.29411764705882354,1.0,132,0,1,0,1,0,1,0,0
690,690,1,0.7304347826086957,1.0,0.34210526315789475,1.0,0.4,1.0,0.4545454545454545,1.0,131,0,1,0,1,0,0,0,1
772,772,1,0.7478260869565218,1.0,0.6052631578947368,0.8260869565217391,0.047619047619047616,1.0,0.4545454545454545,-1.0,130,0,1,0,1,0,0,0,1
129,129,0,0.6428571428571429,1.0,0.8780487804878049,-0.8888888888888888,0.8888888888888888,-1.0,0.6086956521739131,1.0,135,2,0,0,1,0,1,0,0
199,199,0,0.5571428571428572,1.0,0.8292682926829268,1.0,0.7222222222222222,1.0,0.6956521739130435,1.0,135,0,1,0,1,0,1,0,0
289,289,0,0.8734177215189873,-0.9130434782608696,0.9523809523809524,1.0,0.9166666666666666,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
994,994,0,0.9833333333333332,1.0,0.7647058823529411,-1.0,0.8085106382978723,-1.0,0.8,-1.0,137,0,1,1,0,0,1,0,0
125,125,0,0.4428571428571429,1.0,0.8780487804878049,-1.0,0.8611111111111112,-1.0,0.4782608695652174,1.0,135,2,0,0,1,0,1,0,0
929,929,0,0.7692307692307693,-1.0,0.9636363636363636,1.0,0.9230769230769232,1.0,0.6666666666666666,0.5,137,0,1,0,1,0,1,0,0
481,481,1,0.8508771929824561,1.0,0.7142857142857143,1.0,0.7777777777777778,1.0,0.6666666666666666,1.0,133,0,1,0,1,0,0,0,1
802,802,1,0.9304347826086956,1.0,0.7631578947368421,-0.8965517241379308,0.42857142857142855,-1.0,0.5454545454545454,-1.0,130,0,1,0,1,0,1,0,0
855,855,1,0.8372093023255814,-1.0,0.8837209302325582,0.8684210526315791,0.7857142857142857,0.8181818181818182,0.9473684210526316,-1.0,129,0,0,0,1,0,0,0,1
209,209,0,0.7,0.9591836734693876,0.8780487804878049,1.0,0.8888888888888888,1.0,0.8260869565217391,1.0,135,0,1,0,1,0,1,0,0
477,477,1,0.8596491228070176,1.0,0.6857142857142857,1.0,0.7777777777777778,0.07142857142857142,0.6666666666666666,1.0,133,0,1,0,1,0,0,0,1
643,643,1,0.9913793103448276,0.9130434782608696,0.0,,0.0,,0.0,,131,0,1,0,1,0,1,0,0
474,474,1,0.912280701754386,-1.0,0.8857142857142857,1.0,0.5555555555555556,1.0,0.4666666666666667,0.42857142857142855,133,1,0,0,1,0,0,0,1
44,44,0,0.9692307692307692,1.0,0.9454545454545454,-1.0,0.975,-1.0,0.9473684210526316,1.0,136,0,1,0,1,0,1,0,0
33,33,0,0.676923076923077,1.0,0.9636363636363636,-1.0,0.9,-1.0,0.7894736842105263,1.0,136,1,0,0,1,0,1,0,0
554,554,1,0.9473684210526316,1.0,0.8611111111111112,1.0,0.7222222222222222,1.0,0.8235294117647058,1.0,132,0,1,0,1,0,1,0,0
146,146,0,0.9285714285714286,-1.0,0.9268292682926829,1.0,0.8888888888888888,1.0,0.7391304347826086,0.8823529411764706,135,0,1,0,1,0,1,0,0
87,87,0,0.5692307692307692,1.0,0.8363636363636363,1.0,0.8,1.0,0.5,0.3333333333333333,136,0,1,1,0,0,1,0,0
290,290,0,0.9493670886075948,-0.8933333333333333,0.9523809523809524,1.0,0.9444444444444444,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
986,986,0,0.9833333333333332,1.0,0.8627450980392157,-1.0,0.8936170212765957,-1.0,0.9333333333333332,-1.0,137,0,1,1,0,0,1,0,0
34,34,0,0.9230769230769232,1.0,0.9454545454545454,-1.0,0.95,-1.0,0.7894736842105263,1.0,136,1,0,0,1,0,1,0,0
725,725,1,0.9545454545454546,1.0,0.9473684210526316,-0.9444444444444444,0.8181818181818182,-1.0,0.7,-1.0,131,0,1,0,1,0,1,0,0
438,438,0,0.9428571428571428,1.0,0.8333333333333334,1.0,0.9444444444444444,1.0,0.9130434782608696,1.0,134,0,1,1,0,0,1,0,0
346,346,0,0.8285714285714286,-1.0,0.9047619047619048,1.0,0.9444444444444444,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
950,950,0,0.8,0.8269230769230769,0.7454545454545455,-0.6341463414634146,0.8205128205128205,0.25,0.4117647058823529,0.7142857142857143,137,2,0,0,1,0,1,0,0
508,508,1,0.9579831932773109,1.0,0.8648648648648649,1.0,0.8888888888888888,1.0,0.7058823529411765,1.0,132,0,1,0,1,0,1,0,0
75,75,0,0.015384615384615384,1.0,0.9818181818181818,1.0,1.0,1.0,1.0,1.0,136,0,1,0,1,0,1,0,0
996,996,0,0.9159663865546218,1.0,0.6666666666666666,0.5294117647058824,0.8936170212765957,-0.5476190476190477,0.9333333333333332,-1.0,137,0,1,1,0,0,1,0,0
987,987,0,0.9833333333333332,1.0,0.8627450980392157,-1.0,0.8936170212765957,-1.0,0.9333333333333332,-1.0,137,0,1,1,0,0,1,0,0
569,569,1,0.8947368421052632,1.0,0.7222222222222222,1.0,0.5,1.0,0.2352941176470588,1.0,132,0,1,0,1,0,1,0,0
977,977,0,0.9833333333333332,1.0,0.8627450980392157,-1.0,0.8936170212765957,-1.0,0.8666666666666667,-1.0,137,0,1,1,0,0,1,0,0
575,575,1,0.8859649122807017,1.0,0.6388888888888888,1.0,0.5,1.0,0.2352941176470588,1.0,132,0,1,0,1,0,1,0,0
445,445,0,0.6857142857142857,1.0,0.9047619047619048,-1.0,0.8888888888888888,-1.0,0.7391304347826086,0.1176470588235294,134,2,0,1,0,0,1,0,0
938,938,0,0.4615384615384616,1.0,0.7090909090909091,1.0,0.8461538461538461,1.0,0.6666666666666666,1.0,137,0,1,0,1,0,1,0,0
63,63,0,0.7230769230769231,0.5744680851063829,0.8909090909090909,1.0,0.9,0.9444444444444444,0.8333333333333334,1.0,136,0,1,0,1,0,1,0,0
387,387,0,0.6428571428571429,-0.9777777777777776,0.8809523809523809,1.0,0.9444444444444444,1.0,0.8695652173913043,1.0,134,0,1,0,1,0,1,0,0
43,43,0,0.9076923076923076,-1.0,0.9818181818181818,1.0,0.95,1.0,0.8947368421052632,1.0,136,0,1,0,1,0,1,0,0
170,170,0,0.6571428571428571,1.0,0.8292682926829268,1.0,0.8888888888888888,1.0,0.4782608695652174,1.0,135,0,1,0,1,0,1,0,0
72,72,0,0.7538461538461538,0.979591836734694,0.8363636363636363,1.0,0.875,1.0,0.7222222222222222,1.0,136,0,1,0,1,0,1,0,0
818,818,1,0.9217391304347826,1.0,0.6842105263157895,1.0,0.3333333333333333,1.0,0.3636363636363637,1.0,130,0,1,0,1,0,0,0,1
752,752,1,0.991304347826087,0.9649122807017544,0.7894736842105263,-0.8666666666666667,0.8571428571428571,-1.0,0.8181818181818182,-0.7777777777777778,130,0,1,0,1,0,0,0,1
780,780,1,0.9304347826086956,0.97196261682243,0.0,,0.0,,0.0,,130,0,1,0,1,0,0,0,1
